gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,Lat,Long,Extent,Notes,Cer,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,Date,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977918799,3c66c8f5-a981-46ea-8b0f-6ae44f799220,IICT/R 14-1971,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768","Crocodylus niloticus Laurenti, 1768","Laurenti, 1768",MZ,Nhaluiro,Tete,PRESENT,1,9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862,-15.543889,31.909722,3036.00,Cooridnates do not match locality  ,,,,,,03/12/1971 00:00,3,12,1971,2441341,2441341,PRESERVED_SPECIMEN,MUHNAC,IICT,IICT/R 14-1971,,,,CC_BY_NC_4_0,Museu Nacional de História Natural e da Ciência,,,,24/11/2022 21:16,,RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977918678,3c66c8f5-a981-46ea-8b0f-6ae44f799220,IICT/R 13-1971,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768","Crocodylus niloticus Laurenti, 1768","Laurenti, 1768",MZ,Nhaluiro,Tete,PRESENT,1,9fdb5a90-a5a6-11dd-8d5f-b8a03c50a862,-15.543889,31.909722,3036.00,Cooridnates do not match locality  ,,,,,,03/12/1971 00:00,3,12,1971,2441341,2441341,PRESERVED_SPECIMEN,MUHNAC,IICT,IICT/R 13-1971,,,,CC_BY_NC_4_0,Museu Nacional de História Natural e da Ciência,,,,24/11/2022 21:16,,RECORDED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852441222,a8ee9bc6-5914-427d-9fba-f8545250ac34,4d1caa80-5381-11e6-9649-a4a3446a4726,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,AO,Benguela,,PRESENT,,cf9ceb80-9f3d-11da-b791-b8a03c50a862,-12.58943178,13.41539349,6.35,,100,,,,,01/04/1957 00:00,,4,1957,2441341,2441341,PRESERVED_SPECIMEN,CUMV,Herps,R-0012805,KKA 67,,,CC0_1_0,,A. Jones,,Native,25/11/2022 09:10,,INSTITUTION_COLLECTION_MISMATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852436876,a8ee9bc6-5914-427d-9fba-f8545250ac34,4cd86e8b-5381-11e6-9649-a4a3446a4726,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,CG,Kindu,,PRESENT,,cf9ceb80-9f3d-11da-b791-b8a03c50a862,-2.94826822,25.92292629,5.12,,100,,,,,01/05/1956 00:00,,5,1956,2441341,2441341,PRESERVED_SPECIMEN,CUMV,Herps,R-0012820,KKA 68,,,CC0_1_0,,unknown,,Native,25/11/2022 09:10,,INSTITUTION_COLLECTION_MISMATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324148076,832b8188-f762-11e1-a439-00145eb45e9a,DBEC6E2C-43F1-48DE-BA09-B3F757EC7AF9,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,GA,"Moukalaba-Doudou National Park, Gamba, N'dougou Lagoon, Bongo River",Ogooue-Maritime,PRESENT,,8483a1f0-1032-11db-ae00-b8a03c50a862,-2.5343,10.11458,0.01,Cooridnates match but extent too small ,25,,,,,10/02/2010 00:00,10,2,2010,2441341,2441341,PRESERVED_SPECIMEN,UF,Herp,166784,,,,CC_BY_NC_4_0,,"Shirley, Matthew",,,12/12/2022 05:06,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324148073,832b8188-f762-11e1-a439-00145eb45e9a,3B60146E-2498-44C9-9292-47317D456131,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,GA,"Loango National Park, N'gowe Lagoon",,PRESENT,,8483a1f0-1032-11db-ae00-b8a03c50a862,-1.92574,9.35291,0.01,Cooridnates match but extent too small ,25,,,,,29/11/2010 00:00,29,11,2010,2441341,2441341,PRESERVED_SPECIMEN,UF,Herp,166785,,,,CC_BY_NC_4_0,,"Shirley, Matthew",,,12/12/2022 05:06,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322976549,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3ff78d8c5-90fd-4212-b5b8-f5729882bb86,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,SL,"Bo Town, 7 mi S of, Gondoma, at Sewa River",Southern Province,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,7.956595924,-11.73636102,5.28,Mid point eyeballed,75,,,,13/06/1963 00:00,13/06/1963 00:00,13,6,1963,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 149668,,,,CC0_1_0,,,,,02/12/2022 12:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322820585,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3f88f5d51-6142-4e5f-a77f-bced8c35e490,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,SL,"Bo Town, 7 mi S of, Gondoma, at Sewa River",Southern Province,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,7.956595924,-11.73636102,5.28,Mid point eyeballed,75,,,,13/06/1963 00:00,13/06/1963 00:00,13,6,1963,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 149667,,,,CC0_1_0,,,,,02/12/2022 12:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322768283,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3f63ba636-af12-4e8e-8a60-f6ad6d50e30e,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,LR,Mt. Coffee,Montserrado County,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,6.4906,-10.65,0.63,"Locality data and coordinates  match, extent half distance from Mt Coffee to Buzi Quarters",75,,,,,###############################################################################################################################################################################################################################################################,5,5,1897,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 24331,,,,CC0_1_0,,,,,02/12/2022 12:40,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322723947,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3f443b07b-42f5-47ec-9c8c-90c6fecba341,Animalia,Chordata,Crocodylia,,Crocodylidae,Crocodylus,Crocodylus niloticus,,SPECIES,"Crocodylus niloticus Laurenti, 1768",Crocodylus niloticus,,UG,"Rhino Camp, Lado Enclave",Northern Region,PRESENT,1,bc092ff0-02e4-11dc-991f-b8a03c50a862,2.9694,31.3972,1.33,"The locality data and coordinates match,  extent by 1/2 distance to nearest named place which was Abario ",75,,,,,20/01/1910 00:00,20,1,1910,2441341,2441341,PRESERVED_SPECIMEN,USNM,HERP,USNM 42149,,,,CC0_1_0,,,,,02/12/2022 12:40,,GEODETIC_DATUM_ASSUMED_WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
