ID,Date,Extent_km,Cer,primf_1850,primf_1900,primf_1950,primf_2000,primn_1850,primn_1900,primn_1950,primn_2000,urban_1850,urban_1900,urban_1950,urban_2000
"14","1979",22.14,"50",0,0,0,0,0,0,0,0,0.129549184348434,0.127382856793702,0.125435794703662,0.0492358952760696
"15","1979",22.14,"50",0,0,0,0,0,0,0,0,0.129549184348434,0.127382856793702,0.125435794703662,0.0492358952760696
"16","1979",0.6,"50",0,0,0,0,0,0,0,0,0.151932124048471,0.145142830908298,0.130266152322292,0.0427765250205994
"17","1977",3212.59,"75",0,0,0,0,-0.0841157613322139,-0.0794469071552157,-0.0337672075256705,-0.00239612441509962,0,0,0,0
"18","1977",732.32,"100",0,0,0,0,-4.36287120205226e-021,-1.77509441292015e-021,-1.01931255329139e-021,-2.8397381733988e-023,0,0,0,0
"19","1977",4865.12,"75",0,0,0,0,-0.0316506624221802,-0.0292277932167053,-0.00732535123825073,-0.000998169183731079,0,0,0,0
"20","1977",3.36,"75",0,0,0,0,-7.27453183912985e-006,-6.55259404425124e-006,-4.46620455818447e-006,-5.870995494206e-007,0.0268412288278341,0.0268412288278341,0.0268412288278341,0.0131632788106799
"21","1977",3.36,"75",0,0,0,0,-7.27453183912985e-006,-6.55259404425124e-006,-4.46620455818447e-006,-5.870995494206e-007,0.0268412288278341,0.0268412288278341,0.0268412288278341,0.0131632788106799
"22","1977",3.36,"75",0,0,0,0,-7.27453183912985e-006,-6.55259404425124e-006,-4.46620455818447e-006,-5.870995494206e-007,0.0268412288278341,0.0268412288278341,0.0268412288278341,0.0131632788106799
"23","1977",3.36,"75",0,0,0,0,-7.27453183912985e-006,-6.55259404425124e-006,-4.46620455818447e-006,-5.870995494206e-007,0.0268412288278341,0.0268412288278341,0.0268412288278341,0.0131632788106799
"24","1976",0.6,"75",0,0,0,0,0,0,0,0,0.151932124048471,0.145142830908298,0.130266152322292,0.0427765250205994
"25","1976",0.6,"75",0,0,0,0,0,0,0,0,0.151932124048471,0.145142830908298,0.130266152322292,0.0427765250205994
"26","1974",926.69,"100",0,0,0,0,-0.384807398542762,-0.193572914227843,-0.105752816423774,-0.0100115817040205,0,0,0,0
"27","1974",0.05062,"75",0,0,0,0,-0.162939834874123,-0.136913094203919,-0.0877996268682182,-0.00800044136121869,-0.000189454032679188,-0.000557342078409257,0,0
"28","1973",3.036,"100",-0.198940768837929,-0.191506654024124,0,0,0,0,0,0,0.00428997864946723,0.00428997864946723,0.00428997864946723,0.00106935109943151
