ecatalogue_key,DarCatalogNumber,Date,DarFamily,DarScientificName,DarTypeStatus,DarPrep,Seen in Collections,DarAge,DarCountry,CatKindOfCollection,DarContinentOcean,DarDecimalLatitude,DarDecimalLongitude,DarLocality,AquNamedTributary1,Locality,Keep ,Lat,Long,Extent ,Cer,Notes,LocNhmVerbatimLocality,MovedTo,DarOrigin,DarOldRisplipLocationLables,DarNotes,,
87,,,Crocodylidae,Crocodylus niloticus,,,,,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,N,,,,25.00,,,,,,Trouble locating due to missing reg number,,
88,1844.3.29.25,1844,Crocodylidae,Crocodylus niloticus,,Stuffed,,Young,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,N,,,,25.00,,,,Purch:Mr Agent,,"The locality data and purchasing data is inconsistent with register, but register has very unclear hand writing",,
89,1904.1.29.1,1904,Crocodylidae,Crocodylus niloticus,,Stuffed,,,,Dermal skeleton ,Indian Ocean,18.83,59,Off Oman,,Off Oman,N,,,,25.00,,,,Pres:A.W.Haig,,"Register says something about Heneley on Thames in notes, there is nothing in the register on the locality, so the Indian ocean stuff is potentially incorrect ",,
90,1886.1.20.1,1886,Crocodylidae,Crocodylus niloticus,,,,,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,Y,-1.971351716,68.33,2285.52,25.00,Mid point between the centre of Oman and the Indian Ocean,,,Pres:Drew and Son,,"Prepared for commercial use, most data consistent across catalogue, Emu and register",,
91,,,Crocodylidae,Crocodylus niloticus,,,,,,,Indian Ocean,92,,Crocodylidae,Crocodylus niloticus,,N,,,,,,,,,,"Indian Ocean, trouble locating due to missing reg number",,
92,1971.1743,1971,Crocodylidae,Crocodylus niloticus,,,,,Kenya,,,,,"Ferguson's Gulf, Lake Rudolf, Turkana",,"Ferguson's Gulf, Lake Rudolf, Turkana",N,,,,,,,,,,,,
93,1972.2072,1971,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Sierra Leone,,,,,,,,Y,8.55950497,-11.78950577,178.92,100.00,,,,Pres:Dr. W.C.Osman Hill (1971) Coll:Lt Darlour,,"Most data consistent across catalogue, Emu and register",,
94,1974.3015,1974,Crocodylidae,Crocodylus niloticus,,,,,Nigeria,,,,,"Ekuri, Obubra Division",,"Ekuri, Obubra Division",N,,,,,,,,,,,,
95,1928.8.12.1,1928,Crocodylidae,Crocodylus niloticus,,,,,Zambia,,,,,"Rhodesia; Lecenje, Northern Rhodesia",,"Lecenje, Northern Rhodesia",N,,,,,,,,,,,,
96,1976.291,1976,Crocodylidae,Crocodylus niloticus,,,,,Egypt,Teeth,,,,"""E. of Labyrinth"", Hawara, Fayum",,"""E. of Labyrinth"", Hawara, Fayum",Y,29.25895928,30.89632435,0.6,75.00,Mid points eyeballed,,,,,"noted as ""presumably niloticus"",Most data consistent across catalogue, Emu and register",,
97,1864.8.8.12,1864,Crocodylidae,Crocodylus binuensis Baikie (1857),,,,Adult,,Skull,,,,West Africa,,West Africa,Y,15.10967824,-2.30,1762.09,75.00,"West Africa, Mid point eyeballed",,,Purch:Mr Dalton Coll:B.Baikie,,"?Syntype of C.binuensis Baikie, Red Catalogue just has genus (Crocodylus) and Skull, there is information in the catalogue book that is not in the register ",,
98,1967.1075,1967,Crocodylidae,Crocodylus niloticus,,,Y,Adult,Uganda,Skull,,,,Murchison Falls,,Murchison Falls,Y,1.553418887,32.2523643,433.33,100.00,Precise locality unclear so used country ,,,Coll: Pres: Dr Hugh B.Cott,,"Most data consistent across catalogue, Emu and register",,
99,1900.9.22.2,1900,Crocodylidae,Crocodylus niloticus,,,,Adult,Sudan,Skull,,,,Bahr Gazelle,,Bahr Gazelle,N,,,,,,,,Coll:Pres:Stanley.S.Flower,,,,
100,1865.5.3.76,1865,Crocodylidae,Crocodylus niloticus,,,Y,Adult,,Skull,,,,West Africa,,West Africa,Y,14.77000017,13.08,2191.37,75.00,Mid point coordinates eyeballed,,,Purch: Mr Stevens ,,"Red Catalogue just has genus (Crocodylus) and Skull, specimin found in catalogue but not inputted on Emu
",,
101,1967.1076,1967,Crocodylidae,Crocodylus niloticus,,,Y,,Uganda,,,,,Murchison Falls,,Murchison Falls,Y,1.553418887,32.2523643,433.33,100.00,Precise locality unclear so used country ,,,Coll: Pres: Dr Hugh B.Cott,, Specimin on the online database (emu) and register but not the catalogue,,
102,1967.1074,1967,Crocodylidae,Crocodylus niloticus,,,Y,Adult,Uganda,Skull,,,,Murchison Falls,,Murchison Falls,Y,1.553418887,32.2523643,433.33,100.00,Precise locality unclear so used country ,,,Coll: Pres: Dr Hugh B. Cott,,"Most data consistent across catalogue, Emu and register",,
103,1907.12.30.5,1907,Crocodylidae,Crocodylus niloticus,,,,,,,,,,Lake Chad,,Lake Chad,N,,,,,,,,,,,,
104,1934.6.3.1,1934,Crocodylidae,Crocodylus niloticus,,,,Adult,,Skull,,,,"Juba River, British East Africa",,"Juba River, British East Africa",N,,,,,,,,Coll:R.Martin ,,,,
105,1920.3.19.1,1920,Crocodylidae,Crocodylus niloticus,,Stuffed,,Adult,Egypt,,,,,,,,Y,26.47649844,29.94474209,732.32,100.00,,,,Pres:Stanley S.Flower,,"Most data consistent across catalogue, Emu and register",,
106,1862.6.30.7,1862,Crocodylidae,Crocodylus niloticus,,,,,Nigeria,,,,,Old Calabar,,Old Calabar,N,,,,,,,,,,,,
107,1862.1.24.51,1862,Crocodylidae,Crocodylus niloticus,,,,Adult,Nigeria,Skull,,,,Old Calabar,,Old Calabar,Y,4.961859479,8.319214474,806.17,100.00,,,,Coll:Press: Andrew Murray,,"Most data consistent across catalogue, Emu and register",,
108,1897.6.9.1,1897,Crocodylidae,Crocodylus niloticus,,,,Adult,Malawi,Skull,,,,Nyasaland,,Nyasaland,N,,,,,,,,"Coll:? By W.Alex Whyte, Pres:H.H.Johnnston",,,,
109,1897.6.24.1,1897,Crocodylidae,Crocodylus niloticus,,,,Adult,Malawi,Skull,,,,Nyasaland,,Nyasaland,N,,,,,,,,"Coll:H.H.Johnnston, K.C.13.",,,,
110,1904.9.9.1,1904,Crocodylidae,Crocodylus niloticus,,,,,Ghana,,,,,Accra,,Accra,N,,,,,,,,,,,,
111,1894.6.5.33,1894,Crocodylidae,Crocodylus niloticus,,,,,Madagascar,,,,,"Itampulu Ve, 120 miles from Nossi Ve",,"Itampulu Ve, 120 miles from Nossi Ve",N,,,,,,,,,,,,
112,1911.8.15.1,1911,Crocodylidae,Crocodylus niloticus,,,,Adult,Egypt,Skull,,,,"Hawara, Fayum",,"Hawara, Fayum, Norman Period",N,,,,,,,,,,,,
113,1949.1.1.2,1949,Crocodylidae,Crocodylus niloticus,,,Y,Adult,Sudan,Skull,,,,"Zeleit, White Nile, 30 miles S. of Kosti, 20 miles N. of Jabalyn",,"Zeleit, White Nile, 30 miles S. of Kosti, 20 miles N. of Jabalyn",Y,12.85960547,32.72617766,31.75,75.00,the location roughly translated to midway between Kosti and Al Jabalyn,,,Coll:Pres: W.R.G. Bond,,"Most data consistent across catalogue, Emu and register",,
114,1975.1313,1975,Crocodylidae,Crocodylus niloticus,,,,,Sudan,,,,,"Bahr-el-Ghazal, A.E. Sudan",,"Bahr-el-Ghazal, A.E. Sudan",N,,,,,,,,,,,,
115,1865.4.6.2,1865,Crocodylidae,Crocodylus niloticus,,,,,,,,,,West Africa,,West Africa,N,,,,,,,,,,,,
116,,,Crocodylidae,Crocodylus niloticus,,,,,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,N,,-1.971351716,68.33,25.00,,,,,,Trouble locating due to missing reg number,,
117,,,Crocodylidae,Crocodylus niloticus,,,,,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,N,,-1.971351716,68.33,25.00,,,,,,Trouble locating due to missing reg number,,
118,1889.9.20.1,1889,Crocodylidae,Crocodylus niloticus,,,,Hgr,Egypt,Skull,,,,Lower Egypt,,Lower Egypt,N,,,,,,,,"Coll:W.F.Flinders, Pres:Prof.F.Petrie",,"""Sent with a large collection of human skulls"".W.M.Flinders",,
119,1932.5.2.108,1932,Crocodylidae,Crocodylus niloticus,,Spirit ,Y,Young,,,,,,"Mouth of Kaliokwell River, Lake Rudolf",,"Mouth of Kaliokwell River, Lake Rudolf",Y,3.707942657,36.00407171,162.05,75.00,Precise locality unclear so used Lake ,,,Coll: E.B. Worthington ,,"Most data consistent across catalogue, Emu and register",,
120,1953.1.11.23-24,1953,Crocodylidae,Crocodylus niloticus,,Spirit ,Y,Embryo,Congo,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.91141038,29.18731429,,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,"Most data consistent across catalogue, Emu and register",,
121,1919.7.22.1-2,1919,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,,,,,,"Albertsville, Lake Tanganyika",,"Albertsville, Lake Tanganyika",Y,-5.91141038,29.18731429,5.93,75.00,"Mid point coordinates eyeballed, could not find lake, used district ",,,Pres: M.G.Dhout,,"Most data consistent across catalogue, Emu and register",,
122,1953.1.11.17-18,1950,Crocodylidae,Crocodylus niloticus,,Spirit,Y,,,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.91141038,29.18731429,5.93,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,"1950, mission hydobiologique du lae Tanganika, most data consistent across catalogue, Emu and register",,
123,1935.12.1.187-188,1935,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,,,,,,"Central Island, Lake Rudolf",,"Central Island, Lake Rudolf",Y,3.708098372,35.9922673,1.99,100.00,,,,Coll: V. E. Fuchs,,"Label for (187)  says central I 1.5.34,  Label for (188) says central (187)  29.4.34, from stomach of monitor, most data consistent across catalogue, Emu and register",,
124,1860.6.19.6-7,1860,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Senegal,,,,,,,,Y,14.24426888,-14.23639399,324.34,100.00,,,,Purch:Mr Cumming,,"Most data consistent across catalogue, Emu and register",,
125,1869.6.29.1-2,,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Egypt,,,,,,,,Y,26.47649844,29.94474209,732.32,100.00,,,,,,"mummified specimens from tomb, Could not locate this specimin in register, present on Emu and in catalogue",,
126,1931.1.13.1-2,1931,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Madagascar,Skins,,,,"Betsiboka, at Marovoay, N.W. Madagascar",,"Betsiboka, at Marovoay, N.W. Madagascar",Y,-17.40807213,47.23308488,17.29,75.00,"two named places with the same name, found mid point extent id the distance from mid point to centre of each ",,,"Coll, Pres: Dr Errol I. White",,"Most data consistent across catalogue, Emu and register",,
127,1968.82-83,1968,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Cameroon,,,,,"Mpundu, E. of Ekona",,"Mpundu, E. of Ekona, Aug 1967",Y,4.188158204,9.255530968,35.76,75.00,Mid point coordinates eyeballed,,,Pres: T.S. Jones,,"Most data consistent across catalogue, Emu and register",,
128,1953.1.10.97-99,1950,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Embryo,,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.91141038,29.18731429,5.93,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,"1950, mission hydobiologique du lae Tanganika, most data consistent across catalogue, Emu and register",,
129,1953.1.11.20-22,1950,Crocodylidae,Crocodylus niloticus,,Spirit ,Y,Embryo,,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.91141038,29.18731429,5.93,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,"1950, mission hydobiologique du lae Tanganika, most data consistent across catalogue, Emu and register",,
130,,,Crocodylidae,Crocodylus niloticus,,Ashtray,,,,,,,,Partly Python Sebase,,,N,,,,,,,,,,"Artefacts collection, specimen found in register, but not catalogue",,
131,1901.6.24.2-4,1901,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Embryos ,Uganda,,,,,,,"Mafuru crater, Bunyaruguru area",Y,1.553418887,32.2523643,,100.00,Precise locality unclear so used country ,,,Coll:Pres:Sir.H.H.Jhonston ,,"Listed as 2-8 in red catalogue, most data consistent across catalogue, Emu and register",,
132,1980.543-546,1980,Crocodylidae,Crocodylus niloticus,,,,,,Tanned skins,,,,West Africa,,West Africa,N,14.77000017,13.08,2191.37,,,,,,,"Register says locality unknown, found in register, Emu but not in catalogue",,
133,1953.1.11.39-42,1953,Crocodylidae,Crocodylus niloticus,,Spirit,,Embryo,,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.91141038,29.18731429,5.93,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,"Most data consistent across catalogue, Emu and register",,
134,1953.1.11.1-4,1953,Crocodylidae,Crocodylus niloticus,,Spirit ,Y,,,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.91141038,29.18731429,5.93,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,"Most data consistent across catalogue, Emu and register",,
135,1953.1.11.25-28,1950,Crocodylidae,Crocodylus niloticus,,,Y,,,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.91141038,29.18731429,5.93,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,"1950, mission hydobiologique du lae Tanganika, most data consistent across catalogue, Emu and register",,
136,1901.6.24.5-8,1901,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Embryos,Uganda,,,,,,,"Mafuru crater, Bunyaruguru area",Y,1.553418887,32.2523643,433.33,100.00,Precise locality unclear so used country ,,,Coll:Pres:Sir.H.H.Jhonston ,,"one of the eggs scanned by norman mc cloud 19th.1.2011 , borrowed for scanning, specimen logged on emu and catalogue but not register",,
137,1948.1.2.38-41,1948,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Embryo,Malawi,,,,,"Zomba Mts, Nyasaland",,"Zomba Mts, Nyasaland",Y,-15.42500518,35.35363716,6.22,75.00,Mid point coordinates eyeballed,,,Coll:Pres: J.R.Lennon,,"Most data consistent across catalogue, Emu and register",,
138,1929.11.14.22-25,1929,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Uganda,,,,,"Damba Island, Victoria Nyanza, near Entebbe, 3700ft",,"Damba Island, Victoria Nyanza, near Entebbe, 3700ft",Y,0.005779434,32.79203504,5.82,100.00,,,,Pres: C.R.S.Pitman ,,"Date;12.11.28, newly hatched when nest of 66 eggs was dug out, most data consistent across catalogue, Emu and register",,
139,1961.31-36,1961,Crocodylidae,Crocodylus niloticus,,,,Egg,Madagascar,,,,,,,,Y,-20.9852726,46.06554376,1008.51,100.00,,,,Tring Mus. Colln,,"Most data consistent across catalogue, Emu and register",,
140,1954.1.12.68-75,1954,Crocodylidae,Crocodylus niloticus,,Spirit,Y,Young,Uganda,,,,,Lake Victoria,,Lake Victoria,Y,-0.73769552,33.4485315,294.28,100.00,,,,Coll:Pres:J.W.Lester,,"Most data consistent across catalogue, Emu and register",,
141,1953.1.11.5-16,1950,Crocodylidae,Crocodylus niloticus,,Spirit,Y,,,,,,,"Congo; Albertsville, Tanganyika District, Belgian Congo",,"Albertsville, Tanganyika District, Belgian Congo",Y,-5.91141038,29.18731429,5.93,75.00,Mid point coordinates eyeballed,,,Pres:Inst.Roy.Sci.Nat.Belg,,"1950, 12 embryos, most data consistent across catalogue, Emu and register",,
142,1979.747-770,1979,Crocodylidae,Crocodylus niloticus,,,,,Kenya,Tanned skins,,,,Mailed from Nairobi,,Mailed from Nairobi,Y,-1.296338824,36.84462678,22.14,50.00,,,,H.M.Customs & Excise,,"Skin Collection, most data consistent across catalogue, Emu and register",,
,1976.290-291,1979,Crocodylidae,Crocodylus niloticus,,,Y,,"Havana, Cuba","Skull, partial skin, miscellaneous teeth from a different specimen",,,,Hawwarat Al Maqta a.k.a. Hawara Fayum,,,Y,29.25895928,30.89632435,0.6,50.00,Mid point coordinates eyeballed,B1 S1,In open cardboard box. ,"Coll:Flinders Petire Prell:Univ.Ldl.London. May, 74",,"Probably c.1900-1911, register says this is from  Hawara Fayum,  3 similar teeth registered as VC 28257 i-iii, mistake in the catalogue says from Havana Cuba, but specimen also says Hawara Fayum",,
,1967.1075,1967,Crocodylidae,Crocodylus niloticus,,,,,Kenya ,Skull (Cranium only) ,,,,"Mount Kenya District, E. Africa",,,N,-0.149615601,37.31664288,11.27,25.00,Extent half the distance to Kabaru (nearest named place),B1 S2,Bag with specimen containing sign with info. + 2 teeth (may not belong to specimen -very small),,,Potential overlap/ mix up in reg numbers,,
,1889.9.20.1,18889,Crocodylidae,Crocodylus niloticus,,,Y,Hgr,Lower Egypt,Skull (Cranium + Mandible),,,,Lower Egypt,,Lower Egypt,Y,26.47649844,29.94474209,732.32,75.00,Precise locality unclear so used country ,Bay 1 Shelf 3,Two additional clear plastic bags containing teeth and mandibular fragments,"Coll:W.F.Flinders, Pres:Prof.F.Petrie",,"""Sent with a large collection of human skulls"".W.M.Flinders, most data consistent across catalogue, Emu and register",,
,1959.1.8.55,1959,Crocodylidae,Crocodylus niloticus,,,Y,,,Mandible only,,,,,,,N,,,,,,B1 S3,matched with other half on shelf,,,"Same as 29, No label  (Species given in KE-Emu so added to tabel), this has the same reg number another specimin as the come in two parts , mandible +  cranium (other part of specimen), three speciminslisted with this reg number",,
,1959.1.8.55,1959,Crocodylidae,Crocodylus niloticus,,Spirit,Y,, Nigeria,"Cranium only (some teeth), skull separate",,,,"Southern Nigeria, Cross River",,,Y,5.181681466,8.817576791,435.46,100.00,,B1 S3,matched with other half on shelf,Pres: Mrs. A.K.Pyke,,"Same as 25, Female, most data consistent across catalogue, Emu and register",,
,1864.1.25.4,1864,Crocodylidae,Crocodylus niloticus,,,,Hgr,W Africa,Mandible only,,,,Africa,,,N,,,,,,B1 S3,BS4 S4,Pres: Dr Livingston,,"Wanting Lower Jaw, when checked this was a complete skull (in NHM collections), not in register ",,
,1950.1.1.26,1950,Crocodylidae,Crocodylus niloticus,,Spirit,,, Sierra Leone,Skull (Cranium + Mandible fused with skin),,,,"Bom Kittam River,SW",,,Y,7.311547418,-12.15358533,43.96,100.00,,B1 S3,,Coll:Pres: T.S. Jones,,"Skin covers the skull only, most data consistent across catalogue, Emu and register",,
,1931.5.3.1,1931,Crocodylidae,Crocodylus niloticus,,,,,,Skull (Cranium + Mandible glued),,,, S.W. Sierra Leone,,,N,,,,25.00,,B1 S3,,,,"No data. Some post-orbital bones painted, same reg number as a different specimin",,
,,,Crocodylidae,Crocodylus niloticus,,,,,,Skull (Cranium partly damaged at front + Mandible tied together with partial skin,,,,,,,N,,,,,,Bay 2 Shelf 3,,,,"In steel container, missing reg number so difficult to locate across records ",,
,1897.6.9.1,1897,Crocodylidae,Crocodylus niloticus,,Adult,,,Malawi,Skull,,,,,,,Y,-13.57837071,34.37580138,411.57,100.00,,B2 S3,,"Coll:? By W.Alex Whyte, Pres:H.H.Johnnston",,"In steel container. In glass topped-box, most data consistent across catalogue, Emu and register",,
,1876.8.4.3,1876,Crocodylidae,Crocodylus niloticus,,,,,Seychelles,Skull (maxillae only in many pieces),,,,,,,Y,-4.634192907,55.46,16.72,75.00,,B2 S3,,,,In steel container. In glass-topped box. Crocodylus porosus also listed on older labels. Specimin info in the online database (emu) and register but not the catalogue,,
,,,Crocodylidae,Crocodylus niloticus,,,,, Uganda,Skull (Cranium -2 pieces + Mandible- 2 pieces)+ Skeleton (disarticulated),,,,River Moroto,,,N,,,,,,B1 S3,,,,Missing reg number so difficult to locate across records ,,
,1934.10.24.1,1934,Crocodylidae,Crocodylus niloticus,,,Y,Young,Nigeria,Skull (Cranium + Mandible in many pieces),,,,,,,Y,9.645080074,7.699698847,1.04,100.00,,B2 S3,,Pres: Calverwell & Brooks,,"Most data consistent across catalogue, Emu and register",,
,1911.8.15.1,1911,Crocodylidae,Crocodylus niloticus,,,Y,Adult,Egypt,Skull (Cranium + Mandible) plus some neck skin,,,,"Hawwarat Al Maqta f.k.a. Hawara, Fayum (Norman Period)",,,Y,29.25895928,30.89632435,0.6,75.00,Mid point coordinates eyeballed,B3 S4,,Pres: Prof. F. Petrie ,,"In steel container, most data consistent across catalogue, Emu and register",,
,,,,,,,,,,,,,,,,,N,,,,,,,,,,Missing reg number so difficult to locate across records ,,
,1967.1074-76,1967,Crocodylidae,Crocodylus niloticus,,,,,,Skull (Cranium only) ,,,,Muchison Falls,,,Y,1.553418887,32.2523643,433.33,100.00,Precise locality unclear so used country ,B4 S3,,Coll:Pres:- Dr Hugh Cott,,"no data, no label no teeth- this is from register, but when I checked specimin it is labelled and does have teeth",,
,1894.6.5.33,1894,Crocodylidae,Crocodylus niloticus,,,Y,,Madagascar,Skull (Cranium + Mandible),,,,"Itampulu Ve, 120 miles from Nossi Ve",,,Y,-20.9852726,46.06554376,1008.51,100.00,Precise locality unclear so used country ,B4 S3,,Coll? W.Ladt. Purch of E. Feerand Jim?,,"Mandible slightly damaged but held together with wire, specimin recorded in the online database (emu) and register but not the catalogue",,
,1904.10.10.1,1904,Crocodylidae,Crocodylus niloticus,,,Y,Hgr,Kenya,Skull (Cranium + Mandible in 2 pieces) ,,,,"Fort Hall, Kenya district",,,Y,-0.711415808,37.15835152,0.7,75.00,Extent half the distance to Murang'a (nearest named place),Bay 4 Shelf 4,,Dr. S.C. Hinde ,,"Anterior tip of left maxilla slightly damaged. R. mandible mounted to base board; L. mandible free, the record says something about Oakthorpe in Middlesex, data mostly consistent across Emu, register and catalogue",,
,1975.1313,1957,Crocodylidae,Crocodylus niloticus,,,Y,,Sudan,Skull (Cranium + Mandible) in skin,,,,A. E. Bahr El Ghazal (Sudan),,,Y,9.31899038,29.85014973,1009.92,100.00,,B4 S4,,Pres:C.G.Knolly.1957,,"Mounted on a wooden shield. Loose bag of teeth beside specimen belonging to ""C. niloticus"" (no registration No.) but colour does not seem to match specimen. Additional label attached with number: 1957/6, data mostly consistent across Emu, register and catalogue",,
,1967.1074,,Crocodylidae,Crocodylus niloticus,,,,,Madagascar,Skull (Cranium + Mandible in 2 pieces) +  2 additional bone fragments,,,,,,,N,7.523611218,30.19847048,1008.51,25.00,,B5 S1,,,,On shelf with package containing teeth of Arripis salar (fish species) plus clear bag containing loose teeth. Reg number same as other specimin,,
,1900.9.22.2,1900,Crocodylidae,Crocodylus niloticus,,,Y,,Sundan?,Skull (Cranium + Mandible),,,,"South Sudan, Bahr Sagella?",,,Y,7.523611218,30.19847048,618.41,100.00,Precise locality unclear so used South Sudan,B5 S2,,Coll:Pres:Stanley.S.Flower,,"Mandible not numbered but adjacent to specimen on shelf and articulates perfectly with it,data mostly consistent across Emu, register and catalogue",,
,1911.8.15.1,,Crocodylidae,Crocodylus niloticus,,,,,,Skull (Cranium + Mandible),,,,"Zeilet, on the White Nile ",,,N,,,,25.00,,B5 S3,,,,"Detailed location information on attached labels plus states: ""Total length 15 ft. 2 inches"", Data mostly consistent across Emu, register and catalogue",,
,1974.3015,1933,Crocodylidae,Crocodylus niloticus,,,Y,Skull,Nigeria,Skull (Cranium + Mandible -both damaged),,,,"Ekuri, Obubra Division, Nigeria","Ekuri, Obubra Division, Nigeria",,Y,5.881249045,8.120085108,1.63,75.00,Mid point coordinates eyeballed,B5 S3,,Coll:Pres:Ivan.T.Sanderson,,"Adjacent mandible on shelf has no number but is in the same poor condition as the cranium; difficult to check articulation due to damage to cranium. Skull poorly prepared and dirty.1933.Data mostly consistent across Emu, register and catalogue",,
,1897.6.24.1,1897,Crocodylidae,Crocodylus niloticus,,,Y,Adult,Malawi,Skull (Cranium only) ,,,,"Nyasaland (Malawi, Africa)",,,Y,-13.57837071,34.37580138,411.57,100.00,,Bay 5 Shelf 4,,"Coll:H.H.Johnnston, K.C.13.",,"Same as 195,Data mostly consistent across Emu, register and catalogue",,
,1910.3.15.2,1910,Crocodylidae,Crocodylus niloticus,,,Y,Young,Uganda,Skull (Cranium + Mandible) and Skeleton (partially articulated),,,,,,,Y,1.553418887,32.2523643,433.33,100.00,,B6S1,,Pres: Col. Sir David Bruce,,"In a black box with glass lid. Very small specimen (possible new hatchling?). Tail and forelimbs damaged/disarticulated. Data mostly consistent across Emu, register and catalogue",,
,1931.5.3.2,1931,Crocodylidae,Crocodylus niloticus,,,Y,Young,Uganda,Skull (Cranium + Mandible in 2 pieces + 3 bone fragments from right mandible),,,,"Lake Albert, Bunyoro, Uganda, Africa, (3,700ft?)",,,Y,1.788461785,30.98331636,97.6,100.00,,B6S1,,Pres: F. Jardine,,"In black box with glass lid. Several loose teeth also in box. Data mostly consistent across Emu, register and catalogue",,
,1927.4.23.1,1927,Crocodylidae,Crocodylus niloticus,,,Y,Young,Tanzania,Skull (Cranium + Mandible),,,,"Ujiji, Kigoma Tanganyika T. (Tanzania)",,,Y,-4.911124339,29.68277549,0.9,75.00,there are two Ujiji's on the map so used midpoint between 2,B6 S1,,Coll.C.B.H.Grant,,"In a grey box with glass lid with specimen 1927.4.23.2. Cranium and mandible in good condition but wired together tightly. Data mostly consistent across Emu, register and catalogue",,
,1927.4.23.2,1927,Crocodylidae,Crocodylus niloticus,,,Y,Young,Tanzania,Skull (Cranium + Mandible -damaged),,,,"Ujiji, Kigoma Tanganyika T. (Tanzania)(2,500ft)",,,Y,-4.911110607,29.68273034,0.9,75.00,there are two Ujiji's on the map so used midpoint between 2,B6S1,,Coll.C.B.H.Grant,,"In a grey box with glass lid with specimen 1927.4.23.1. Posterior portion of left mandible is broken off (in box) and several loose teeth iin the box most likely belonging to this specimen. 25a.St. Andrews Road, Bedford. Data mostly consistent across Emu, register and catalogue",,
,1971.1743,1971,Crocodylidae,Crocodylus niloticus,,,Y,,Kenya,Gastroliths ,,,,"Ferguson's Gulf, Lake Rudolph, Turkana, Kenya Colony",,,Y,3.520576703,35.90986723,3.26,100.00,,B6S1,,"Coll: J.G. Williams ""Meineitzhagen Colln""",,"In a black box with glass lid. Label info. states: ""Stones from stomach of a 16ft crocodile"". Data mostly consistent across Emu, register and catalogue",,
,1928.8.12.1,1928,Crocodylidae,Crocodylus niloticus,,,,Young,Zimbabwe ,Skull (Cranium + Mandible) and Skin,,,,Lecenje? N. Rhodesia (Zimbabwe),,,Y,-16.66500768,31.87381564,506.14,100.00,locality unclear so used country ,B6S1,,Pres: H.F.Wilson ,,"In dark box with glass lid. Skull partially covered with skin (in good condition).Data mostly consistent across Emu, register and catalogue",,
,1907.12.30.5,1907,Crocodylidae,Crocodylus niloticus,,,Y,Adult,Chad,Skull (Cranium + Mandible in 2 pieces) ,,,,Lake Chad,,,Y,13.1342159,14.45289646,37.9,100.00,,B6 S1,,"Coll:G. B.Gosling, Pres: Capt. Boyd-Alexander",,"Mandible has some skin on. No teeth. Data mostly consistent across Emu, register and catalogue",,
,1862.6.30.7,1862,Crocodylidae,Crocodylus niloticus,,,Y,Adult,Nigeria,Skull (Cranium only) ,,,,"Old Calabar (Nigeria, Africa)",,,Y,4.96177397,8.318785321,0.91,100.00,,B6S1,,Coll:Pres: Andrew Murray,,"Same as 194, Very few teeth. ""Croc. Vulgaris"" written on cranium. Data mostly consistent across Emu, register and catalogue",,
