ecatalogue_key,DarCatalogNumber,Date,DarFamily,DarScientificName,DarTypeStatus,DarPrep,Seen in Collections,DarAge,DarCountry,CatKindOfCollection,DarContinentOcean,DarDecimalLatitude,DarDecimalLongitude,DarLocality,AquNamedTributary1,Locality,Keep ,Lat,Long,Extent ,Cer,Notes,LocNhmVerbatimLocality,MovedTo,DarOrigin,DarOldRisplipLocationLables,DarNotes,,
20,2021.6422,2021,Crocodylidae,"Crocodylus niloticus Laurenti, 1768",,,,,,,,,,,,,N,,,,,,,,,,"This was not found in the register or catalogue, only found in Emu",,
21,1844.3.20.25,1844,Crocodylidae,"Crocodylus niloticus Laurenti, 1768",,,,,Mexico,,,,,,,Mexico,N,,,,,,,,Purch: Mr A R G…T?,,"found in catalogue, register has no locality data however emu says the specimen is from Mexico",,
22,1863.5.8.2,1863,Crocodylidae,Crocodylus niloticus,,Stuffed,,Hgr,,,,,,Madras,,Madras,Y,13.05514819,80.20355525,0.93,25.00,"Mid point eyeballed, Extent measured using half distance to nearest named place, Koyambedu ",at Ruslip (Wandsworth),,Purch: Mr Stevens,,"Says locality; '?'on label , Madras may be wrong, Madras is also not in the register  (no locality data in register)",,
23,1851.6.2.3,1851,Crocodylidae,Crocodylus niloticus,,,,,,,,,,Madras,,Madras,N,13.05514819,80.20355525,0.93,25.00,"Mid point eyeballed, Extent measured using half distance to nearest named place, Koyambedu ",,,,19AA11/R1/S3/B5/25,"9'10"", Not found in green catalogue, but found online, Madras is error, as label says Egypt ",,
24,1977.447,1977,Crocodylidae,Crocodylus niloticus,,Stuffed,,Adult,,,,,,Africa,,Africa,Y,8.272172963,20.36573353,4865.12,75.00,Africa Mid point eyeballed ,at Ruslip (Wandsworth),,,19A1/R2/S1/B3-5/43,"14""6"",",,
25,1946.8.1.11,1946,Crocodylidae,Crocodylus niloticus,,Stuffed,,Adult,Sudan,,,,,"Malak, near Mongalla, White Nile",,"Malak, near Mongalla, White Nile",Y,5.180490889,31.76754902,2.89,75.00,"could not find Malak on map, used mid point of Mongalla for coordinates, and 1/2 the distance between Mongalla and Jokoki (next nearest place) for the extent ",,,Coll:Pres:J.R.Lennon,,Mistake? Label says Pres: Rev. D. Trench Casson,,
26,1977.449,1977,Crocodylidae,Crocodylus niloticus,,Stuffed,,Adult,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,Y,-1.971351716,68.33,2285.52,25.00,Mid point between the centre of Oman and the Indian Ocean,at Ruslip (Wandsworth),,,19A1/R1S2/B8/16,"11''3'', this is not the original locality data, has been added later, including georeferencing (label says no data)",,
27,1850.7.6.1,1850,Crocodylidae,Crocodylus niloticus,,,,,,,,,,"Kenneh, Nile",,"Kenneh, Nile",N,,,,,,,,,,,,
28,1860.3.1.1,1860,Crocodylidae,Crocodylus niloticus,,Stuffed,,Adult,Senegal,,,,,,,,Y,14.24426888,-14.23639399,324.34,100.00,,at Ruslip (Wandsworth),,Purch:Mr Parzudaki,19A1/R1/S3/B8/28,"8'4"", Data consistent across datasets",,
29,1977.45,1977,Crocodylidae,Crocodylus niloticus,,Stuffed,,Adult,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,N,,,,25.00,,at Ruslip (Wandsworth),,,19A1/R2/S2/B1-3/47,"10'10"",this is not the original locality data, has been added later, including georeferencing  (label says no data)",,
30,1976.29,1976,Crocodylidae,Crocodylus niloticus,,,,,Egypt,"Dry skull, skin",,,,"Hawara, Fayum",,"Hawara, Fayum",Y,29.25855106,30.89605734,0.6,75.00,Mid points eyeballed,,,"Coll:Flinders:Petrie:Pren:Dept Egyptology,Univ. Coll.London.May.1974",,"Prob.c.1900-1911'from box V76', in the online database (emu) and register but not the green (catalogue)",,
31,1906.11.16.1,1906,Crocodylidae,Crocodylus niloticus,,Stuffed,,Adult,,Head,,,,Lake Chad,,Lake Chad,Y,13.1342159,14.45289646,37.9,100.00,,,,Pres:W.G.L. Nantes ,,,,
